Location,Count
Afghanistan,0
Albania,90
Algeria,73338
Argentina,88
Armenia,53
Australia,5238
Azerbaijan,170
Bangladesh,22
Belarus,95
Belgium,6070
Benin,0
Bosnia and Herzegovina,137
Brazil,5216
Bulgaria,19
Cambodia,10
Cameroon,0
Canada,14827
Central African Republic,0
Chad,5
Chile,964
China,108
Colombia,10
Congo,0
Costa Rica,0
Croatia,74
Cuba,32
Cyprus,30031
Czech Republic,0
Ivory Coast,88
Democratic Republic of the Congo,6
Denmark,14118
Djibouti,5
Ecuador,148
Egypt,1262088
Estonia,15
Ethiopia,5
Fiji,0
Finland,0
France,7507
Georgia,24
Germany,945
Ghana,138
Greece,9587
Guatemala,0
Guinea,0
Hungary,2024
Iceland,103
India,1432
Indonesia,3311
Iran,0
Iraq,407050
Ireland,2068
Israel,0
Italy,8831
Japan,10
Jordan,126
Kazakhstan,2344
Kenya,0
Kuwait,53137
Kyrgyzstan,5
Latvia,46
Lebanon,14614
Liberia,10
Libya,102881
Lithuania,9
Luxembourg,88
Madagascar,20
Malaysia,5828
Mauritania,409
Mexico,72
Montenegro,11
Morocco,3408
Mozambique,0
Netherlands,1578
New Zealand,425
Nicaragua,0
Niger,15
Nigeria,186
Norway,130
Pakistan,427
Panama,0
Papua New Guinea,0
Paraguay,0
Peru,459
Philippines,559
Poland,262
Portugal,55
Qatar,43
South Korea,17
Moldova,158
Macedonia,123
Romania,818
Russia,242
Saudi Arabia,1920284
Senegal,0
Serbia,68
Sierra Leone,0
Slovakia,120
Slovenia,77
Somalia,94
South Africa,312
Spain,12426
Sri Lanka,156
West Bank,95
Sudan,1136
Sweden,7153
Switzerland,942
Syria,4210
Thailand,3780
Togo,0
Tunisia,512
Turkey,10873
Uganda,34
Ukraine,2072
United Arab Emirates,543
England,6539
United Republic of Tanzania,6
USA,470
Uruguay,0
Uzbekistan,5
Venezuela,68
Yemen,12397
Zambia,91
Zimbabwe,0
